,IL,cation,anion,x_CO2,T (K),P (bar),x_CO2_hat,residual,relative err.,set,[CH3],[CH2],[CH],[OCH2],[OCH3],[CF2],[CF3],[OH],CH=CH,CH=CH2,[Im13],[MIm],[MMIM],[Py],[MPy],[MPyrro],[MPip],[NH3],[NH2],[NH],[N],[P],[S],[BF4],[Cl],[DCA],[NO3],[PF6],[SCN],[TCB],[C(CN)3],[HSO4],[FSA],[Tf2N],[BETA],[FOR],[TFA],[C3F7CO2],[MeSO4],[EtSO4],[MDEGSO4],[MeSO3],[TfO],[NfO],[TDfO],[TOS],[C12PhSO3],[DMPO4],[DEPO4],[DBPO4],[methide]
1154,[BMIM][BF4],[BMIM],[BF4],0.6017,327.91,467.2,0.7022599,-0.10055989818572997,16.7,train,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1413,[HMIM][BF4],[HMIM],[BF4],0.231127998274036,307.55,30.8,0.3450099,-0.11388189490490383,49.3,train,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1417,[HMIM][BF4],[HMIM],[BF4],0.47729385410477,307.55,21.3,0.27063286,0.20666099106003122,43.3,test,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1917,[BMIM][Tf2N],[BMIM],[Tf2N],0.319,293.21,9.15,0.21812496,0.10087504410743714,31.6,train,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1924,[BMIM][MDEGSO4],[BMIM],[MDEGSO4],0.345,313.31,63.9,0.47476345,-0.1297634530067444,37.6,train,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1926,[BMIM][MDEGSO4],[BMIM],[MDEGSO4],0.206,313.31,44.1,0.37733528,-0.17133528017997743,83.2,train,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1928,[BMIM][MDEGSO4],[BMIM],[MDEGSO4],0.121,313.31,26.5,0.26218557,-0.14118557357788086,116.7,train,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1992,[C8F13MIM][Tf2N],[C8F13MIM],[Tf2N],0.455,298.16,13.1,0.28594762,0.16905237913131715,37.2,test,0,2,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2361,[OMIM][BF4],[OMIM],[BF4],0.651,333.15,93.73,0.52373266,0.1272673377990723,19.5,train,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2362,[OMIM][BF4],[OMIM],[BF4],0.708,313.15,92.9,0.5958239,0.11217611598968502,15.8,train,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2363,[OMIM][BF4],[OMIM],[BF4],0.671,323.15,92.28,0.55287254,0.11812746143341069,17.6,train,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2364,[OMIM][BF4],[OMIM],[BF4],0.605,333.15,84.14,0.49782062,0.10717938423156737,17.7,train,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2402,[BMIM][NO3],[BMIM],[NO3],0.522,333.15,93.17,0.4044608,0.1175392122268677,22.5,train,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2406,[BMIM][NO3],[BMIM],[NO3],0.48,333.15,84.35,0.37269738,0.10730261683464049,22.4,train,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2409,[BMIM][NO3],[BMIM],[NO3],0.425,333.15,70.77,0.32312486,0.10187514424324035,24.0,train,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2423,[BMIM][PF6],[BMIM],[PF6],0.729,313.15,95.67,0.56597066,0.16302934074401854,22.4,train,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2424,[BMIM][PF6],[BMIM],[PF6],0.667,333.15,93.01,0.49959767,0.16740233135223392,25.1,train,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2425,[BMIM][PF6],[BMIM],[PF6],0.675,323.15,92.46,0.5277578,0.1472421765327454,21.8,test,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2426,[BMIM][PF6],[BMIM],[PF6],0.698,313.15,84.95,0.54838955,0.14961044597625728,21.4,test,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2427,[BMIM][PF6],[BMIM],[PF6],0.64,323.15,84.19,0.5113215,0.128678514957428,20.1,train,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2428,[BMIM][PF6],[BMIM],[PF6],0.62,333.15,83.77,0.47878456,0.14121543884277343,22.8,train,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2429,[BMIM][PF6],[BMIM],[PF6],0.564,333.15,71.43,0.443689,0.12031101131439204,21.3,test,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2430,[BMIM][PF6],[BMIM],[PF6],0.616,313.15,70.33,0.51409584,0.10190415716171264,16.5,test,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2431,[BMIM][PF6],[BMIM],[PF6],0.581,323.15,70.19,0.47466028,0.10633972263336178,18.3,train,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2434,[BMIM][PF6],[BMIM],[PF6],0.495,333.15,56.54,0.3892126,0.10578739166259765,21.4,train,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2444,[OMIM][PF6],[OMIM],[PF6],0.726,333.15,92.88,0.57585466,0.1501453409194946,20.7,train,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2445,[OMIM][PF6],[OMIM],[PF6],0.755,313.15,92.67,0.64070725,0.11429274559020997,15.1,train,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2446,[OMIM][PF6],[OMIM],[PF6],0.705,323.15,92.67,0.60445493,0.10054506540298458,14.3,train,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2447,[OMIM][PF6],[OMIM],[PF6],0.682,333.15,84.6,0.5590218,0.12297822904586797,18.0,train,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2719,[BMIM][NO3],[BMIM],[NO3],0.2997,368.19,128.32,0.41223985,-0.11253984956741331,37.6,train,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3022,[EMIM][DCA],[EMIM],[DCA],0.15143218059015,343.2,59.44,0.28068972,-0.12925753574896132,85.4,train,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3023,[EMIM][DCA],[EMIM],[DCA],0.171021557145797,333.2,58.75,0.3055247,-0.13450314969471813,78.6,train,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3024,[EMIM][DCA],[EMIM],[DCA],0.186461053006853,323.2,57.28,0.3304867,-0.1440256618330823,77.2,train,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3025,[EMIM][DCA],[EMIM],[DCA],0.202004492975326,313.2,56.04,0.35963315,-0.15762865474119622,78.0,train,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3026,[EMIM][DCA],[EMIM],[DCA],0.217441151874195,303.2,54.47,0.39225698,-0.1748158232997552,80.4,train,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3028,[EMIM][DCA],[EMIM],[DCA],0.14769488612451,333.2,43.45,0.24916732,-0.10147243698797778,68.7,train,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3029,[EMIM][DCA],[EMIM],[DCA],0.161630032044203,323.2,42.54,0.2761963,-0.11456626893922595,70.9,train,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3030,[EMIM][DCA],[EMIM],[DCA],0.183850680294505,313.2,41.8,0.30749243,-0.12364175468398012,67.3,train,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3031,[EMIM][DCA],[EMIM],[DCA],0.206254483875792,303.2,40.8,0.34206533,-0.13581085044427635,65.8,train,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3271,"[P6,6,6,14][Tf2N]","[P6,6,6,14]",[Tf2N],0.593,373.65,33.9,0.49252707,0.10047293233871457,16.9,train,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3281,"[P6,6,6,14][Tf2N]","[P6,6,6,14]",[Tf2N],0.593,333.45,23.5,0.49298555,0.10001445341110227,16.9,train,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3282,"[P6,6,6,14][Tf2N]","[P6,6,6,14]",[Tf2N],0.593,323.75,21.3,0.48487806,0.10812193679809567,18.2,train,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3283,"[P6,6,6,14][Tf2N]","[P6,6,6,14]",[Tf2N],0.6309,296.05,21.1,0.5237489,0.10715112533569338,17.0,train,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3284,"[P6,6,6,14][Tf2N]","[P6,6,6,14]",[Tf2N],0.593,313.05,18.8,0.46804512,0.12495488452911374,21.1,test,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3285,"[P6,6,6,14][Tf2N]","[P6,6,6,14]",[Tf2N],0.593,303.85,16.5,0.44455302,0.148446982383728,25.0,train,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3286,"[P6,6,6,14][Tf2N]","[P6,6,6,14]",[Tf2N],0.593,295.65,14.3,0.41494417,0.1780558280944824,30.0,train,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3295,"[P6,6,6,14][Tf2N]","[P6,6,6,14]",[Tf2N],0.3603,293.65,5.3,0.23229182,0.1280081823348999,35.5,train,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4222,[OMIM][Tf2N],[OMIM],[Tf2N],0.3019,324.15,9.6,0.20184407,0.10005593361854553,33.1,train,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4223,[OMIM][Tf2N],[OMIM],[Tf2N],0.3019,314.05,8.2,0.19628036,0.10561963977813721,35.0,test,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4224,[OMIM][Tf2N],[OMIM],[Tf2N],0.3019,303.85,7.2,0.19601142,0.10588857593536377,35.1,train,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4225,[OMIM][Tf2N],[OMIM],[Tf2N],0.3019,301.15,6.8,0.19284824,0.10905176463127136,36.1,test,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
